date,open,high,low,close,volume,average,barCount,MACD,MACD_Signal,MACD_Histogram,RSI
2025-09-11,226.84,230.45,226.65,230.03,29373017.0,229.034,155999,0.0,0.0,0.0,
2025-09-12,229.3,234.51,229.02,234.07,32977969.0,233.138,181863,0.3222792022791907,0.06445584045583815,0.2578233618233526,
2025-09-15,237.0,238.19,235.03,236.7,26999194.0,236.324,155082,0.780905025121541,0.20774567738897873,0.5731593477325623,
2025-09-16,237.12,241.22,236.32,238.15,37099219.0,239.072,215215,1.246997564099189,0.4155960547310208,0.8314015093681683,
2025-09-17,238.97,240.1,237.73,238.99,25145998.0,239.293,147420,1.6649675298042155,0.6654703497456598,0.9994971800585557,
2025-09-18,239.96,241.2,236.65,237.88,24835737.0,238.092,148757,1.8849158786636622,0.9093594555292602,0.9755564231344019,
2025-09-19,241.2,246.27,240.21,245.5,65353497.0,243.487,311827,2.643622808639975,1.2562121261514032,1.387410682488572,
2025-09-22,248.3,256.64,248.12,256.08,67874548.0,253.705,369301,4.051913163366237,1.8153523335943702,2.2365608297718667,
2025-09-23,255.83,257.34,253.58,254.43,33623651.0,255.368,191429,4.977474972187508,2.447776861312998,2.5296981108745102,
2025-09-24,255.25,255.71,251.04,252.31,21749356.0,252.251,121913,5.47679006488579,3.0535795020275565,2.423210562858234,
2025-09-25,253.35,257.17,251.71,256.87,33686161.0,254.375,181687,6.169338470106538,3.6767312956433535,2.492607174463185,
2025-09-26,254.18,257.6,253.78,255.46,24877099.0,255.521,149165,6.5291488904919674,4.247214814613077,2.2819340758788904,
2025-09-29,254.56,255.0,253.01,254.43,21777428.0,253.885,123313,6.654480144178677,4.7286678805261975,1.92581226365248,
2025-09-30,254.89,255.92,253.11,254.63,18928538.0,254.514,110329,6.6927940307516565,5.12149311057129,1.5713009201803665,81.34556574923548
2025-10-01,255.04,258.79,254.93,255.45,25515296.0,256.278,145144,6.711953981419953,5.439585284741023,1.2723686966789298,81.72740888666999
2025-10-02,256.59,258.18,254.15,257.13,24286334.0,256.853,126065,6.784492928736427,5.708566813540104,1.0759261151963226,80.58355437665784
2025-10-03,254.67,259.24,253.95,258.02,30078266.0,257.934,166495,6.835006429582847,5.933854736748653,0.901151692834194,79.6440489432703
2025-10-06,257.99,259.07,255.05,256.69,23383266.0,256.972,131051,6.690593856974431,6.085202560793809,0.6053912961806214,75.86495535714289
2025-10-07,256.81,257.4,255.43,256.48,18970746.0,256.404,106753,6.484451882913987,6.165052425217845,0.3193994576961421,74.83669412098843
2025-10-08,256.52,258.52,256.11,258.06,18897834.0,257.75,99022,6.375087636765045,6.207059467527285,0.16802816923775943,78.27914798206288
2025-10-09,257.81,258.0,253.14,254.04,21470392.0,254.668,118661,5.896069066286373,6.144861387279104,-0.24879232099273096,63.31047381546138
2025-10-10,254.94,256.38,244.65,245.27,34367925.0,249.409,200147,4.753976806608932,5.866684471145069,-1.1127076645361367,32.14403700033034
2025-10-13,249.31,249.69,245.56,247.66,18746543.0,247.952,105768,3.9956540754473053,5.492478392005516,-1.496824316558211,39.084166397936094
2025-10-14,246.6,248.85,244.7,247.77,17603499.0,247.21,100507,3.3647669889195413,5.066936111388322,-1.7021691224687805,42.17241379310343
2025-10-15,249.49,251.82,247.47,249.34,17213853.0,249.754,96335,2.9573794768089385,4.645024784472445,-1.687645307663506,35.52479815455588
2025-10-16,248.28,249.04,245.13,247.45,23521637.0,247.351,132844,2.453729665590572,4.2067657606960704,-1.7530360951054984,34.88108720271792
2025-10-17,248.08,253.38,247.27,252.29,26059827.0,250.408,125823,2.4172663700139196,3.8488658825596405,-1.4315995125457208,46.468646864686434
2025-10-20,255.89,264.38,255.63,262.24,53855185.0,261.729,265948,3.154883259576195,3.7100693579629516,-0.5551860983867565,59.500624219725374
2025-10-21,261.88,265.29,261.83,262.77,28222020.0,263.533,140538,3.739114346730986,3.7158783557165584,0.023235991014427526,59.20523138832999
2025-10-22,262.61,262.85,255.43,258.45,25362757.0,258.741,135344,3.8096188811487366,3.7346264608029944,0.07499242034574216,51.5566037735849
2025-10-23,259.89,260.62,258.01,259.58,16293876.0,259.553,90092,3.911585466448713,3.770018261932138,0.141567204516575,51.82926829268293
2025-10-24,261.16,264.13,259.18,262.82,23087680.0,262.499,131209,4.20535888266437,3.857086386078585,0.3482724965857855,56.87991021324355
2025-10-27,264.88,269.12,264.65,268.81,24139474.0,266.48,127726,4.865433680181894,4.058755844899247,0.8066778352826471,62.249155573216754
2025-10-28,269.01,269.89,268.15,269.0,25261165.0,269.004,125626,5.342296456810345,4.315463967281467,1.0268324895288785,61.17695136902329
2025-10-29,269.37,271.41,267.11,269.7,26967803.0,269.513,131018,5.710866478877563,4.594544469600686,1.1163220092768764,67.1635247698378
2025-10-30,271.99,274.14,268.48,271.4,31595050.0,271.278,174262,6.070163601820525,4.889668296044654,1.180495305775871,83.89105058365756
2025-10-31,276.99,277.32,269.16,270.37,40568962.0,271.584,203577,6.200323300971604,5.151799297030044,1.0485240039415604,80.53240118311378
2025-11-03,270.48,270.85,266.25,269.05,22814743.0,267.858,121423,6.126342172944987,5.346707872213033,0.7796343007319546,77.70833333333337
2025-11-04,268.32,271.49,267.61,270.04,24532587.0,269.798,125510,6.077538244457514,5.49287394666193,0.5846642977955847,77.36647276573247
2025-11-05,268.61,271.7,266.93,270.14,18351999.0,269.612,97136,5.9780190612327715,5.589902969576099,0.3881160916566726,81.48764918123793
2025-11-06,267.89,273.4,267.89,269.77,25453925.0,271.128,132550,5.802406948321902,5.63240376532526,0.1700031829966422,77.69328263624848
